Event Id,Event Name,Number of Records,Sport Id
E1,"Athletics Men's 1,500 metres",1,S100
E2,"Athletics Men's 10,000 metres",1,S100
E3,Athletics Men's 100 metres,1,S100
E4,Athletics Men's 110 metres Hurdles,1,S100
E5,Athletics Men's 20 kilometres Walk,1,S100
E6,Athletics Men's 200 metres,1,S100
E7,"Athletics Men's 3,000 metres Steeplechase",1,S100
E8,Athletics Men's 4 x 100 metres Relay,1,S100
E9,Athletics Men's 4 x 400 metres Relay,1,S100
E10,Athletics Men's 400 metres,1,S100
E11,Athletics Men's 400 metres Hurdles,1,S100
E12,"Athletics Men's 5,000 metres",1,S100
E13,Athletics Men's 50 kilometres Walk,1,S100
E14,Athletics Men's 800 metres,1,S100
E15,Athletics Men's Decathlon,1,S100
E16,Athletics Men's Discus Throw,1,S100
E17,Athletics Men's Hammer Throw,1,S100
E18,Athletics Men's High Jump,1,S100
E19,Athletics Men's Javelin Throw,1,S100
E20,Athletics Men's Long Jump,1,S100
E21,Athletics Men's Marathon,1,S100
E22,Athletics Men's Pole Vault,1,S100
E23,Athletics Men's Shot Put,1,S100
E24,Athletics Men's Triple Jump,1,S100
E25,"Athletics Women's 1,500 metres",1,S100
E26,"Athletics Women's 10,000 metres",1,S100
E27,Athletics Women's 100 metres,1,S100
E28,Athletics Women's 100 metres Hurdles,1,S100
E29,Athletics Women's 20 kilometres Walk,1,S100
E30,Athletics Women's 200 metres,1,S100
E31,"Athletics Women's 3,000 metres Steeplechase",1,S100
E32,Athletics Women's 4 x 100 metres Relay,1,S100
E33,Athletics Women's 4 x 400 metres Relay,1,S100
E34,Athletics Women's 400 metres,1,S100
E35,Athletics Women's 400 metres Hurdles,1,S100
E36,"Athletics Women's 5,000 metres",1,S100
E37,Athletics Women's 800 metres,1,S100
E38,Athletics Women's Discus Throw,1,S100
E39,Athletics Women's Hammer Throw,1,S100
E40,Athletics Women's Heptathlon,1,S100
E41,Athletics Women's High Jump,1,S100
E42,Athletics Women's Javelin Throw,1,S100
E43,Athletics Women's Long Jump,1,S100
E44,Athletics Women's Marathon,1,S100
E45,Athletics Women's Pole Vault,1,S100
E46,Athletics Women's Shot Put,1,S100
E47,Athletics Women's Triple Jump,1,S100
E48,Archery Men's Individual,1,S101
E49,Archery Men's Team,1,S101
