Number of Records,Player Age,Player Gender,Player Height,Player Id,Player Name
1,,M,186,P117729,Aleksandr Valeryevich Radulov
1,,M,189,P117730,Aleksandr Valeryevich Syomin
1,,M,180,P117731,Aleksandr Valeryevich Trifonov
1,,M,191,P117732,Aleksandr Viktorovich Bogdanovich
1,,M,182,P117733,Aleksandr Viktorovich Khoroshilov
1,,M,174,P117734,Aleksandr Viktorovich Kolobnev
1,,M,185,P117735,Aleksandr Viktorovich Kostoglod
1,,M,182,P117736,Aleksandr Viktorovich Kulakov
1,,M,178,P117737,Aleksandr Viktorovich Lebedev
1,,M,177,P117738,Aleksandr Viktorovich Loginov
1,,M,182,P117739,Aleksandr Viktorovich Smirnov
1,,M,168,P117740,Aleksandr Viktorovich Sokolov
1,,M,169,P117741,Aleksandr Viktorovich Varlamov
1,,M,189,P117742,Aleksandr Vladimirovich Denisyev
1,,M,184,P117743,Aleksandr Vladimirovich Kasyanov
1,,M,200,P117744,Aleksandr Vladimirovich Korneyev
1,,M,188,P117745,Aleksandr Vladimirovich Krasnykh
1,,M,180,P117746,Aleksandr Vladimirovich Peretyagin
1,,M,187,P117747,Aleksandr Vladimirovich Petrov
1,,M,185,P117748,Aleksandr Vladimirovich Rumyantsev
1,,M,186,P117749,Aleksandr Vladimirovich Tretyakov
1,,M,176,P117750,Aleksandr Vladimirovich Usov
1,,M,195,P117751,Aleksandr Vyacheslavovich Mikhaylin
1,,M,184,P117752,Aleksandr Yevgenyevich Lipatov
1,,M,185,P117753,Aleksandr Yevgenyevich Popkov
1,,M,189,P117754,Aleksandr Yuryevich Zubkov
1,,F,174,P117755,Aleksandra Aleksandrovna Fisher
1,,F,167,P117756,Aleksandra Aleksandrovna Saitova
1,,F,188,P117757,Aleksandra Aleksandrovna Shiryayeva
1,,F,165,P117758,Aleksandra Aleksandrovna Vafina
1,,F,176,P117759,Aleksandra Andreyevna Fedoriva
1,,F,162,P117760,Aleksandra Andreyevna Orlova
1,,F,167,P117761,Aleksandra Andreyevna Perova
1,,F,174,P117762,Aleksandra Anna Socha Szelagowski
1,,F,190,P117763,Aleksandra Arkadyevna Pasynkova
1,,F,167,P117764,Aleksandra Cotti
1,,F,187,P117765,Aleksandra Crvendaki
1,,F,168,P117766,Aleksandra Germanovna Razaryonova
1,,F,170,P117767,Aleksandra Ivanovna Antonova
1,,F,156,P117768,Aleksandra Jadwiga KlejnowskaKrzywaska
1,,F,160,P117769,Aleksandra Jarmoliska
1,,F,167,P117770,Aleksandra Katarzyna Dawidowicz
1,,F,165,P117771,Aleksandra KluZamiedzowy
1,,F,175,P117772,Aleksandra Kotlyarova
1,,F,172,P117773,Aleksandra Krl
1,,F,167,P117774,Aleksandra Kruni
1,,F,168,P117775,Aleksandra Nemich
1,,F,167,P117776,Aleksandra Opachanova
1,,F,160,P117777,Aleksandra Podryadova
1,,F,172,P117778,Aleksandra Sergeyevna Narkevich
1,,F,172,P117779,Aleksandra UrbaczykOlejarczyk
1,,F,178,P117780,Aleksandra Valentinovna Privalova
1,,F,168,P117781,Aleksandra Valeryevna Romanova
1,,F,172,P117782,Aleksandra Vasilevna Burchenkova
1,,F,172,P117783,Aleksandra Vasilyevna Rodionova
1,,F,167,P117784,Aleksandra Viktorova Zhekova
1,,F,160,P117785,Aleksandra Viktorovna Antonova
1,,F,175,P117786,Aleksandra Viktorovna Gerasimenya
1,,F,166,P117787,Aleksandra Vitalyevna Kapustina
1,,F,169,P117788,Aleksandra Vyacheslavovna Patskevich
1,,F,175,P117789,Aleksandra Wozniak
1,,F,170,P117790,Aleksandra Yevgenyevna Tarasova
1,,F,167,P117791,Aleksandra Yuryevna Korelova
1,,M,175,P117792,Aleksandras Kazakeviius
1,,M,195,P117793,Aleksandrs Samoilovs
1,,M,177,P117794,Aleksandrs iivijs
1,,M,185,P117795,Aleksejs Rumjancevs
1,,M,185,P117796,Aleksejs Saramotins
1,,M,183,P117797,Aleksejs irokovs
1,,M,188,P117798,Aleksejus Novoselskis
1,,M,180,P117799,Aleksey Aleksandrovich Abalmasov
1,,M,175,P117800,Aleksey Aleksandrovich Alipov
1,,M,167,P117801,Aleksey Aleksandrovich Ignatovich
1,,M,189,P117802,Aleksey Aleksandrovich Negodaylo
1,,M,188,P117803,Aleksey Aleksandrovich Obmochayev
1,,M,208,P117804,Aleksey Aleksandrovich Ostapenko
1,,M,175,P117805,Aleksey Aleksandrovich Sobolev
1,,M,185,P117806,Aleksey Alekseyevich Denisenko
1,,M,173,P117807,Aleksey Alekseyevich Ivanov
1,,M,185,P117808,Aleksey Alekseyevich Morozov
1,,M,182,P117809,Aleksey Alekseyevich Pchelintsev
1,,M,183,P117810,Aleksey Anatolyevich Shmider
1,,M,176,P117811,Aleksey Anatolyevich Volkov
1,,M,182,P117812,Aleksey Anatolyevich Zinovyev
1,,M,171,P117813,Aleksey Andreyevich Pavlenko
1,,M,184,P117814,Aleksey Andreyevich Yakimenko
1,,M,183,P117815,Aleksey Borisovich Cheremisinov
1,,M,215,P117816,Aleksey Dmitriyevich Savrasenko
1,,M,183,P117817,Aleksey Dyadchuk
1,,M,185,P117818,Aleksey Edmundovich Suvorov
1,,M,170,P117819,Aleksey Gennadyevich Grishin
1,,M,175,P117820,Aleksey Gennadyevich Romashov
